idweb,dateparution,dept,code_departement,nomacheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,alerte_l228,url_avis
26-39691,2026-04-20,95,['95'],S.I.A.R.E,2614 Trvx : Travaux De Réfection De Berges Du Lac Nord à Soisy-Sous-Montmorency,Berge,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39691
26-39694,2026-04-20,59,['59'],SIVU Télédistribution,Accord cadre travaux d'extension du réseau FTTH SIVU,Voirie et réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-39694
26-39746,2026-04-20,73,"['73', '74', '38']",DDT de la Savoie,Réfection et confortement de barrages sur le Charmaix,"Ouvrage d'art, Terrassement",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,1,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39746
26-39719,2026-04-20,69,"['69', '1', '42', '38']",SGAMI SUD-EST,Marché de travaux de 9 lots portant sur la rénovation des locaux de la DSIC du SGAMI Sud-Est (69). Il est composé d'une tranche ferme et de deux tranches optionnelles.,Travaux de viabilité,Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39719
26-39633,2026-04-20,65,['65'],COMMUNAUTE D'AGGLOMERATION TARBES-LOURDES-PYRENEES,Travaux de réalisation d'une voie provisoire,Voirie et réseaux divers,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,2,True,False,,True,https://www.boamp.fr/pages/avis/?q=idweb:26-39633
26-39682,2026-04-20,75,['75'],Ville de Paris,Modernisation de l'ascenseur de la coulée verte 34 rue de Lyon - LOT 2 : TCE Go 201819117,Bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39682
26-39709,2026-04-20,88,['88'],Centre Hospitalier Emile Durkheim,Travaux de rénovation du service 1D maternité et travaux de compartimentage bâtiment E du CH de Remiremont,"Cloison, faux plafond, Menuiserie, Amiante (désamiantage), Matériel de secours et d'incendie",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39709
26-39822,2026-04-20,83,['83'],Département du Var,"Travaux D'Amélioration Fonctionnelle, D'Accessibilité Et De Réhabilitation Du Collège De Coubertin Au Luc En Provence - Marché n°20260739 Travaux d'étanchéité complémentaire des bâ","Etanchéité, Bâtiment",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39822
26-39825,2026-04-20,75,['75'],Caisse d'Assurance Vieillesse des Pharmaciens,Travaux de mise en place d'un système de gestion technique du bâtiment (Gtb) en conformité avec le décret Bacs,Electricité (travaux),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39825
26-39759,2026-04-20,11,['11'],Voies Navigables de France,Marché de Travaux - Aménagement des Ports du Somail et de la Robine - Canal du Midi,"Gros oeuvre, Palplanches",Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-39759
