idweb,dateparution,dept,code_departement,nomacheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,source_cyclable,alerte_l228,url_avis
26-53304,2026-06-01,59,"['59', '62']",COMMUNE DE GRAVELINES,"MODERNISATION DU PÔLE BASKET ""SPORTICA NOUVELLE GÉNÉRATION"" - LOT 16 MACHINERIE ET SERRURERIE SCÈNIQUE","matériel scénique, serrurerie",Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53304
26-53325,2026-06-01,73,['73'],Département de la Savoie,Travaux De Construction Du Centre Routier Departemental (Crd) De Voglans (73),bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53325
26-53397,2026-06-01,57,['57'],Mairie de Yutz,Travaux de peinture,peinture (travaux),Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53397
26-53373,2026-06-01,75,['75'],VILLE de PARIS - DFA - SDA,Travaux de rénovation de la passerelle Jim Morrison (anciennement Mornay) à Paris 4e,"peinture (travaux), passerelle",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53373
26-53438,2026-06-01,44,"['44', '49', '85']",Commune d'Ancenis-Saint-Géréon,Travaux de signalisation horizontale et prestations associées,signalisation,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53438
26-53482,2026-06-01,75,"['75', '78', '92', '95']",Ville du Pecq,Travaux de réaménagement de l’école maternelle Joséphine Baker,"charpente, couverture, démolition, electricité (travaux), gros oeuvre, menuiserie, peinture (travaux), plomberie (travaux), revêtements de sols, voirie et réseaux divers",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53482
26-53487,2026-06-01,71,['71'],REGION BOURGOGNE FRANCHE COMTE,Lycée EPLEFPA de FONTAINES (71) Site Internat – LPA CHAROLLES - Réfection partielle des réseaux ECS du bâtiment INTERNAT,plomberie (travaux),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,-3,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53487
26-53536,2026-06-01,84,['84'],Spl Territoire 84,Travaux de réhabilitation du Gymnase du collège de Bédarrides,equipement sportif,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53536
26-53498,2026-06-01,25,['25'],Grand Besançon Métropole,MARCHE PUBLIC DE TRAVAUX DE RESTRUCTURATION ATELIER EAU ET ASSAINISSEMENT,menuiserie,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53498
26-53515,2026-06-01,75,['75'],Oeuvre de la Mie de Pain,Travaux de rénovation et de surélévation d'un foyer d'accueil d'urgence pour femmes en difficulté,bâtiment,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-53515
